"","bib","chipTime","name","countryCode","Km 5","Km 10","Km 15","Km 20","Km 21.097","Km 25","Km 30","Km 35","Km 40","Finish"
"1","8","02:08:57","MITKU TAFA","ET","00:15:28","00:30:11","00:44:56","00:59:32","01:02:42","01:14:03","01:29:00","01:44:09","02:00:33","02:08:57"
"2","2","02:09:09","FIKRE BEKELE","ET","00:15:38","00:30:23","00:45:33","01:00:54","01:04:05","01:15:28","01:31:01","01:46:24","02:02:10","02:09:09"
"3","3","02:09:11","DOUGLAS CHEBII","KE","00:15:39","00:30:32","00:45:33","01:00:54","01:04:05","01:15:28","01:31:01","01:46:25","02:02:10","02:09:11"
"4","13","02:09:52","GADDISA TAFA DEKEBE","ET","00:15:39","00:30:23","00:45:32","01:00:53","01:04:02","01:15:28","01:31:00","01:46:24","02:02:26","02:09:52"
"5","14","02:10:26","MUSA MITEI","KE","00:15:38","00:30:24","00:45:33","01:00:54","01:04:05","01:15:42","01:31:29","01:47:19","02:03:17","02:10:26"
"6","18","02:11:37","EMBAY GOITOM","ET","00:15:39","00:30:25","00:45:33","01:00:55","01:04:06","01:15:49","01:31:52","01:47:52","02:04:20","02:11:37"
"7","15","02:12:27","JUSTUS KIPKORIR LIMO","KE","00:15:39","00:30:24","00:45:33","01:00:56","01:04:06","01:15:28","01:31:01","01:46:31","02:03:37","02:12:27"
"8","12","02:13:27","ABRAHAM BIWOTT","KE","00:15:39","00:30:24","00:45:33","01:00:54","01:04:07","01:15:59","01:31:51","01:47:52","02:05:04","02:13:27"
"9","20","02:13:54","DENNIS KIPKOSGEI","KE","00:15:39","00:30:28","00:45:33","01:00:55","01:04:10","01:16:30","01:32:51","01:49:11","02:05:58","02:13:54"
"10","5","02:14:44","JOHN LANGAT","KE","00:15:39","00:30:24","00:45:33","01:00:56","01:04:11","01:16:06","01:32:27","01:49:13","02:06:41","02:14:44"
"11","9","02:15:13","SHENGO KEBEDE","ET","00:15:39","00:30:23","00:45:33","01:00:54","01:04:08","01:16:00","01:32:27","01:49:18","02:07:06","02:15:13"
"12","19","02:20:27","GEOFFREY KIBOY","KE","00:15:39","00:30:25","00:46:06","01:02:47","01:06:24","01:19:44","01:37:19","01:54:51","02:12:29","02:20:27"
"13","16","02:22:25","DAVID KIPYEGO","KE","00:15:45","00:30:52","00:46:42","01:02:47","01:06:13","01:18:58","01:36:31","01:54:50","02:13:38","02:22:25"
"14","103","02:24:51","JOSE ESPAÑA COMENDADOR","ES","00:16:54","00:33:27","00:50:22","01:07:11","01:10:46","01:23:43","01:41:16","01:58:53","02:16:46","02:24:51"
"15","23","02:26:17","FRANCISCO JAVIER DE LEON RODRÍGUEZ","ES","00:17:51","00:34:44","00:51:37","01:08:47","01:12:38","01:25:54","01:43:26","02:01:14","02:18:41","02:26:17"
"16","52","02:26:20","NAOM JEBET","KE","00:17:49","00:34:42","00:51:36","01:08:46","01:12:37","01:25:53","01:43:26","02:01:15","02:19:01","02:26:20"
"17","51","02:27:04","BONTU BEKELE","ET","00:17:49","00:34:42","00:51:36","01:08:47","01:12:37","01:25:53","01:43:25","02:01:16","02:19:01","02:27:04"
"18","54","02:27:30","KEBENE CHALA","ET","00:17:49","00:34:43","00:51:36","01:08:47","01:12:38","01:25:53","01:43:27","02:01:15","02:19:11","02:27:30"
"19","53","02:29:05","AYANTU ABDI","ET","00:17:50","00:34:43","00:51:36","01:08:47","01:12:37","01:25:54","01:43:26","02:01:16","02:20:16","02:29:05"
"20","56","02:29:12","BETTY CHEPKORIR","KE","00:17:50","00:34:43","00:51:36","01:08:47","01:12:38","01:25:53","01:43:54","02:02:16","02:21:08","02:29:12"
"21","28","02:29:59","JUAN VIDAL RIBERO","ES","00:17:52","00:34:45","00:51:36","01:08:48","01:12:38","01:25:54","01:43:54","02:02:10","02:21:27","02:29:59"
"22","120","02:30:19","DANIEL HERNANDO CALLEJA","ES","00:17:55","00:34:53","00:52:20","01:10:04","01:13:50","01:27:23","01:45:44","02:03:43","02:22:00","02:30:19"
"23","107","02:31:47","ALBERTO BUENO GONZÁLEZ","ES","00:17:53","00:34:47","00:52:06","01:09:50","01:13:44","01:27:31","01:45:50","02:04:21","02:23:23","02:31:47"
"24","25","02:32:05","DAVID MARTÍNEZ FERNÁNDEZ","ES","00:18:22","00:36:37","00:54:47","01:13:09","01:17:06","01:31:22","01:49:39","02:06:37","02:24:11","02:32:05"
"25","111","02:33:13","EDUARDO CALLEJO MORA","ES","00:17:53","00:34:56","00:52:08","01:09:59","01:13:54","01:27:58","01:46:30","02:05:19","02:24:30","02:33:13"
"26","109","02:33:17","SERGI NIÑO ESPINOSA","ES","00:17:54","00:35:32","00:53:20","01:11:08","01:15:00","01:28:43","01:46:51","02:05:26","02:24:29","02:33:17"
"27","138","02:33:56","EDOARDO CITTADINI","IT","00:17:57","00:35:15","00:52:52","01:10:27","01:14:13","01:28:06","01:46:39","02:06:57","02:25:39","02:33:56"
"28","24","02:34:27","JOSÉ MANUEL MARTÍNEZ FERNÁNDEZ","ES","00:18:21","00:36:37","00:54:47","01:13:09","01:17:06","01:31:23","01:49:58","02:08:14","02:26:26","02:34:27"
"29","170","02:37:18","RUBEN CONDE ALVAREZ","ES","00:18:42","00:36:32","00:54:44","01:13:06","01:17:03","01:31:19","01:49:58","02:09:10","02:28:39","02:37:18"
"30","157","02:37:39","BASTIEN MOURLON","FR","00:19:10","00:37:15","00:55:32","01:13:37","01:17:25","01:31:18","01:49:54","02:08:37","02:29:04","02:37:39"
"31","169","02:37:54","SERGIO ABELLAN GIL","ES","00:18:47","00:36:41","00:54:45","01:13:07","01:17:04","01:31:21","01:49:56","02:08:47","02:28:55","02:37:54"
"32","108","02:37:56","VÍCTOR RODRIGO CARRANZA","ES","00:18:37","00:36:46","00:55:19","01:14:05","01:18:09","01:32:31","01:51:21","02:10:03","02:29:20","02:37:56"
"33","160","02:38:24","RUBEN MARTINEZ FUENTE","ES","00:18:56","00:37:10","00:55:45","01:14:20","01:18:18","01:32:41","01:51:41","02:10:38","02:29:48","02:38:24"
"34","115","02:38:38","JUAN CARLOS MONTA YAPO","ES","00:18:12","00:35:56","00:53:58","01:12:01","01:15:59","01:30:30","01:49:51","02:09:23","02:29:32","02:38:38"
"35","126","02:39:30","DAVID HEDIN","FR","00:18:31","00:36:48","00:55:05","01:13:24","01:17:16","01:31:20","01:50:07","02:09:04","02:30:10","02:39:30"
"36","159","02:39:34","VORO VIÑOLES FERRI","ES","00:19:08","00:37:32","00:56:17","01:15:21","01:19:24","01:33:55","01:53:00","02:11:57","02:31:13","02:39:34"
"37","122","02:40:21","SERGIO RAMÍREZ APREA","ES","00:18:37","00:36:45","00:55:19","01:14:05","01:18:08","01:32:31","01:52:05","02:11:33","02:31:30","02:40:21"
"38","220","02:40:40","ALEJANDRO MARTÍNEZ MATEOS","ES","00:19:13","00:37:34","00:56:20","01:15:18","01:19:23","01:33:59","01:53:14","02:12:48","02:32:17","02:40:40"
"39","150","02:40:54","JOSE PABLO RODRIGUEZ JIMENEZ","ES","00:18:37","00:36:46","00:55:19","01:14:05","01:18:08","01:32:30","01:51:34","02:10:41","02:31:08","02:40:54"
"40","333","02:40:59","JOSEP MARIA NOVELLAS COLLADO","ES","00:19:10","00:37:09","00:55:52","01:14:46","01:18:48","01:33:25","01:52:40","02:12:04","02:32:09","02:40:59"
"41","135","02:41:03","MIGUEL ÁNGEL PÉREZ-NAVARRO ROMERO","ES","00:19:23","00:37:54","00:56:52","01:16:05","01:20:13","01:34:55","01:54:13","02:13:15","02:32:37","02:41:03"
"42","139","02:41:45","ROBERTO ESTEVE ALFONSO","ES","00:19:34","00:38:04","00:57:04","01:16:15","01:20:19","01:35:00","01:54:21","02:13:35","02:32:55","02:41:45"
"43","163","02:41:50","NACHO BARRANCO FRÍAS","ES","00:19:41","00:38:30","00:57:28","01:16:27","01:20:34","01:35:19","01:54:43","02:14:14","02:33:30","02:41:50"
"44","134","02:42:01","NICOLÁS CORDÓN LOZANO","ES","00:18:16","00:36:31","00:54:55","01:13:28","01:17:25","01:31:46","01:51:36","02:11:53","02:32:52","02:42:01"
"45","205","02:42:11","RAUL REVUELTA SAN JOSÉ","ES","00:19:03","00:36:54","00:55:19","01:14:13","01:18:21","01:33:08","01:52:30","02:12:10","02:32:41","02:42:11"
"46","182","02:42:25","CHRISTOPHE GREINER","FR","00:18:48","00:36:46","00:55:19","01:14:34","01:18:45","01:33:49","01:53:34","02:13:19","02:33:30","02:42:25"
"47","232","02:42:39","JAVIER PRIETO RIVAS","ES","00:19:33","00:38:07","00:57:00","01:16:01","01:20:03","01:34:44","01:54:22","02:13:38","02:33:42","02:42:39"
"48","327","02:42:48","ESTEBAN AZUARA CHECA","ES","00:19:19","00:37:59","00:57:10","01:16:17","01:20:23","01:35:11","01:54:37","02:14:04","02:33:50","02:42:48"
"49","132","02:43:17","VLADIMIR FIGARI","PE","00:19:45","00:38:36","00:57:36","01:16:38","01:20:39","01:35:24","01:54:49","02:14:21","02:34:20","02:43:17"
"50","258","02:43:24","MIGUEL MARZOA RUIZ","ES","00:19:07","00:37:50","00:57:00","01:16:12","01:20:17","01:35:13","01:54:51","02:14:23","02:34:28","02:43:24"
"51","137","02:43:27","DANIEL NAVARRO IZQUIERDO","ES","00:19:58","00:38:50","00:58:13","01:17:48","01:21:54","01:37:03","01:56:16","02:15:22","02:34:41","02:43:27"
"52","129","02:43:30","JAVIER FERNÁNDEZ PULIDO","ES","00:19:33","00:38:20","00:57:10","01:16:06","01:20:05","01:34:46","01:54:14","02:13:47","02:34:23","02:43:30"
"53","10908","02:43:42","SAMSON KIPRONO TERER","KE","00:18:28","00:35:32","00:53:26","01:11:41","01:15:37","01:30:23","01:50:52","02:11:57","02:33:47","02:43:42"
